Date,Topic,Reading,Reading guide
11-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
12-Nov,Philosophy of supervised learning,TBD,
13-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
14-Nov,Decoding,TBD,
15-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
