Date,Topic,Reading,Reading guide
30-Sep,[Code challenge Due](https://lyceum.bates.edu),NA,NA
1-Oct,Introduction to neural codes,TBD,
2-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
3-Oct,"Spike train statistics: quantifying what neurons ""say""",TBD,
4-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
