Date,Topic,Reading,Reading guide
4-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
5-Nov,Neural networks,TBD,
6-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
7-Nov,Neural networks,TBD,
8-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
