Date,Topic,Reading,Reading guide
28-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
29-Oct,McCulloch Pitts neurons,TBD,
30-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
31-Oct,Perceptron learning algorithm,TBD,
1-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
