Date,Topic,Reading,Reading guide
23-Sep,[Code challenge Due](https://lyceum.bates.edu),NA,NA
24-Sep,Hodgkin & Huxley,TBD,
25-Sep,[Code challenge Due](https://lyceum.bates.edu),NA,NA
26-Sep,Hodgkin & Huxley,TBD,
27-Sep,[Code challenge Due](https://lyceum.bates.edu),NA,NA
