Date,Topic,Reading,Reading guide
2-Dec,[Code challenge Due](https://lyceum.bates.edu),NA,NA
3-Dec,Representational similarity analysis,TBD,
4-Dec,[Code challenge Due](https://lyceum.bates.edu),NA,NA
5-Dec,Finalizing book,none,
6-Dec,NA,NA,NA
