Date,Topic,Reading,Reading guide
18-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
19-Nov,Decoding case studies I,TBD,
20-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
21-Nov,Decoding case studies II,TBD,
22-Nov,[Code challenge Due](https://lyceum.bates.edu),NA,NA
