Date,Topic,Reading,Reading guide
7-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
8-Oct,Spike-triggered average: what caused the neuron to fire?,TBD,
9-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
10-Oct,Extending STA: reverse correlation,TBD,
11-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
