Date,Topic,Reading,Reading guide
14-Oct,[Code challenge Due](https://lyceum.bates.edu),NA,NA
15-Oct,Linear encoding models,TBD,
16-Oct,BREAK,none,none
17-Oct,NO CLASS: FALL BREAK,none,none
18-Oct,BREAK,none,none
