Date,Topic,Reading,Reading guide
25-Nov,THANKSGIVING,none,NA
26-Nov,THANKSGIVING,none,NA
27-Nov,THANKSGIVING,none,NA
28-Nov,THANKSGIVING,none,NA
29-Nov,THANKSGIVING,none,NA
